run_id,timestamp,question_index,question,predicted_score,predicted_threads,baseline_concurrent,baseline_success,baseline_http_status,baseline_api_code,baseline_latency_ms,baseline_retries_used,baseline_agent_success_ratio,baseline_error,predict_concurrent,predict_success,predict_http_status,predict_api_code,predict_latency_ms,predict_retries_used,predict_agent_success_ratio,predict_error,success_delta,latency_delta_ms,predicted_threads_is_singleton_run,comparison_round_validity,comparison_round_invalid_reason
exp_20260404_204354_72c1cfa5,2026-04-04T20:44:09,1,"Show the bottom 5 countries with the smallest absolute difference between GNPOld and GNP, where both are non-null and GNPOld < GNP.",1.0,1,1,1,200,200,7930.814,0,1.0,,1,1,200,200,6935.306,0,1.0,,0,-995.508,1,无效对比轮,预测并发整轮单一且与基线并发完全相同
exp_20260404_204354_72c1cfa5,2026-04-04T20:44:34,2,"Show the bottom 4 countries ranked by (IndepYear × LifeExpectancy), excluding null IndepYear.",1.0,1,1,1,200,200,14315.686,0,1.0,,1,1,200,200,8770.214,0,1.0,,0,-5545.472,1,无效对比轮,预测并发整轮单一且与基线并发完全相同
exp_20260404_204354_72c1cfa5,2026-04-04T20:44:49,3,Which 5 languages have the highest median percentage across all countries where spoken (excluding nulls)?,1.0,1,1,1,200,200,6955.585,0,1.0,,1,1,200,200,6693.063,0,1.0,,0,-262.522,1,无效对比轮,预测并发整轮单一且与基线并发完全相同
exp_20260404_204354_72c1cfa5,2026-04-04T20:45:19,4,Which 4 languages have the most uniform distribution (lowest range: max % − min %) across countries where spoken?,1.0,1,1,1,200,200,20383.331,1,1.0,,1,1,200,200,8742.271,0,1.0,,0,-11641.06,1,无效对比轮,预测并发整轮单一且与基线并发完全相同
exp_20260404_204354_72c1cfa5,2026-04-04T20:45:48,5,Show the bottom 3 countries with the highest GNP per capita but no recorded IndepYear.,1.0,1,1,1,200,200,19460.31,0,1.0,,1,0,500,,8488.718,,,HTTPError: HTTP Error 500: Internal Server Error,-1,-10971.592,1,无效对比轮,预测并发整轮单一且与基线并发完全相同
exp_20260404_204354_72c1cfa5,2026-04-04T20:46:10,6,"What are the bottom 4 countries ranked by (SurfaceArea + Population) / GNP, excluding zero/null GNP?",1.0,1,1,1,200,200,12748.435,0,1.0,,1,1,200,200,8006.71,0,1.0,,0,-4741.726,1,无效对比轮,预测并发整轮单一且与基线并发完全相同
exp_20260404_204354_72c1cfa5,2026-04-04T20:46:24,7,What are the bottom 5 countries with the smallest surface area and no recorded independence year?,1.0,1,1,0,500,,6693.319,,,HTTPError: HTTP Error 500: Internal Server Error,1,0,500,,6509.934,,,HTTPError: HTTP Error 500: Internal Server Error,0,-183.385,1,无效对比轮,预测并发整轮单一且与基线并发完全相同
exp_20260404_204354_72c1cfa5,2026-04-04T20:46:39,8,Which 5 countries have the greatest absolute difference between LifeExpectancy and 70?,1.0,1,1,1,200,200,7651.31,0,1.0,,1,1,200,200,7156.591,0,1.0,,0,-494.719,1,无效对比轮,预测并发整轮单一且与基线并发完全相同
exp_20260404_204354_72c1cfa5,2026-04-04T20:46:53,9,"What are the bottom 7 countries by (GNP + GNPOld) / 2, excluding nulls in either field?",1.0,1,1,1,200,200,6187.178,0,1.0,,1,1,200,200,7120.957,0,1.0,,0,933.779,1,无效对比轮,预测并发整轮单一且与基线并发完全相同
exp_20260404_204354_72c1cfa5,2026-04-04T20:47:11,10,What are the bottom 4 cities by population in countries whose continent is “North America” and region is “Caribbean”?,1.0,1,1,1,200,200,9133.93,0,1.0,,1,1,200,200,9072.516,0,1.0,,0,-61.414,1,无效对比轮,预测并发整轮单一且与基线并发完全相同
