run_id,timestamp,question_index,question,predicted_score,predicted_threads,baseline_concurrent,baseline_success,baseline_http_status,baseline_api_code,baseline_latency_ms,baseline_retries_used,baseline_agent_success_ratio,baseline_error,predict_concurrent,predict_success,predict_http_status,predict_api_code,predict_latency_ms,predict_retries_used,predict_agent_success_ratio,predict_error,success_delta,latency_delta_ms,predicted_threads_is_singleton_run,comparison_round_validity,comparison_round_invalid_reason
exp_20260404_190850_aff19141,2026-04-04T19:09:02,1,What are the top 5 most populous cities in the database?,1.0,1,1,1,200,200,6294.654,0,1.0,,1,1,200,200,5519.266,0,1.0,,0,-775.389,1,无效对比轮,预测并发整轮单一且与基线并发完全相同
exp_20260404_190850_aff19141,2026-04-04T19:09:22,2,List the bottom 3 countries by surface area.,1.0,1,1,1,200,200,10082.905,0,1.0,,1,1,200,200,9860.326,0,1.0,,0,-222.579,1,无效对比轮,预测并发整轮单一且与基线并发完全相同
exp_20260404_190850_aff19141,2026-04-04T19:09:32,3,Show the top 10 countries with the highest life expectancy.,1.0,1,1,1,200,200,5359.74,0,1.0,,1,1,200,200,4927.529,0,1.0,,0,-432.211,1,无效对比轮,预测并发整轮单一且与基线并发完全相同
exp_20260404_190850_aff19141,2026-04-04T19:10:18,4,Which 7 cities have the smallest populations in their respective countries?,1.0,1,1,1,200,200,15481.909,0,1.0,,1,1,200,200,29785.442,0,1.0,,0,14303.533,1,无效对比轮,预测并发整轮单一且与基线并发完全相同
exp_20260404_190850_aff19141,2026-04-04T19:10:35,5,What are the top 5 languages spoken in countries where Dutch is an official language?,1.0,1,1,1,200,200,9154.651,0,1.0,,1,1,200,200,7505.912,0,1.0,,0,-1648.739,1,无效对比轮,预测并发整轮单一且与基线并发完全相同
exp_20260404_190850_aff19141,2026-04-04T19:10:54,6,List the bottom 5 countries by GNP per capita (GNP/Population).,1.0,1,1,1,200,200,9412.023,0,1.0,,1,1,200,200,8853.768,0,1.0,,0,-558.256,1,无效对比轮,预测并发整轮单一且与基线并发完全相同
exp_20260404_190850_aff19141,2026-04-04T19:11:10,7,Show the top 3 countries with the largest population growth (Population / SurfaceArea ratio).,1.0,1,1,1,200,200,7753.012,0,1.0,,1,1,200,200,7736.383,0,1.0,,0,-16.629,1,无效对比轮,预测并发整轮单一且与基线并发完全相同
exp_20260404_190850_aff19141,2026-04-04T19:11:23,8,What are the 6 most populous cities in Asia?,1.0,1,1,1,200,200,6583.954,0,1.0,,1,1,200,200,6357.884,0,1.0,,0,-226.07,1,无效对比轮,预测并发整轮单一且与基线并发完全相同
exp_20260404_190850_aff19141,2026-04-04T19:11:35,9,List the bottom 4 countries with the lowest life expectancy.,1.0,1,1,1,200,200,6218.087,0,1.0,,1,1,200,200,5832.88,0,1.0,,0,-385.207,1,无效对比轮,预测并发整轮单一且与基线并发完全相同
exp_20260404_190850_aff19141,2026-04-04T19:11:50,10,Which 5 cities are located in countries with no recorded independence year?,1.0,1,1,1,200,200,7691.718,0,1.0,,1,1,200,200,7564.733,0,1.0,,0,-126.984,1,无效对比轮,预测并发整轮单一且与基线并发完全相同
exp_20260404_190850_aff19141,2026-04-04T19:12:07,11,What are the top 8 countries with the highest percentage of official languages?,1.0,1,1,1,200,200,8191.859,0,1.0,,1,1,200,200,7491.22,0,1.0,,0,-700.639,1,无效对比轮,预测并发整轮单一且与基线并发完全相同
exp_20260404_190850_aff19141,2026-04-04T19:12:25,12,Show the bottom 6 cities ranked by population within Europe.,1.0,1,1,1,200,200,10814.809,0,1.0,,1,1,200,200,7331.562,0,1.0,,0,-3483.247,1,无效对比轮,预测并发整轮单一且与基线并发完全相同
